image_id,n_valid_pixels,true_soil_background_pred_soil_background_count,true_soil_background_pred_crop_count,true_soil_background_pred_weed_count,true_soil_background_pred_dicot_count,true_soil_background_pred_grass_count,true_crop_pred_soil_background_count,true_crop_pred_crop_count,true_crop_pred_weed_count,true_crop_pred_dicot_count,true_crop_pred_grass_count,true_weed_pred_soil_background_count,true_weed_pred_crop_count,true_weed_pred_weed_count,true_weed_pred_dicot_count,true_weed_pred_grass_count,true_dicot_pred_soil_background_count,true_dicot_pred_crop_count,true_dicot_pred_weed_count,true_dicot_pred_dicot_count,true_dicot_pred_grass_count,true_grass_pred_soil_background_count,true_grass_pred_crop_count,true_grass_pred_weed_count,true_grass_pred_dicot_count,true_grass_pred_grass_count,prob_functional_true_soil_pred_soil_count,prob_functional_true_soil_pred_crop_count,prob_functional_true_soil_pred_functional_weed_count,prob_functional_true_crop_pred_soil_count,prob_functional_true_crop_pred_crop_count,prob_functional_true_crop_pred_functional_weed_count,prob_functional_true_functional_weed_pred_soil_count,prob_functional_true_functional_weed_pred_crop_count,prob_functional_true_functional_weed_pred_functional_weed_count
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame210,1251936,1146293,1641,247,0,0,1463,99871,0,0,0,795,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,1146275,1641,265,1463,99871,0,760,0,1661
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame212,1251936,1170011,1387,48,0,0,1531,78095,0,0,0,673,8,183,0,0,0,0,0,0,0,0,0,0,0,0,1170009,1387,50,1531,78095,0,669,8,187
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame215,1251936,1127520,2081,202,0,0,994,120714,0,0,0,99,0,326,0,0,0,0,0,0,0,0,0,0,0,0,1127508,2081,214,994,120714,0,97,0,328
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame218,1251936,1156418,1561,250,0,0,1726,90577,0,0,0,495,0,909,0,0,0,0,0,0,0,0,0,0,0,0,1156385,1561,283,1726,90577,0,458,0,946
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame220,1251936,1184002,912,14,0,0,1897,63723,0,0,0,663,124,601,0,0,0,0,0,0,0,0,0,0,0,0,1184001,912,15,1897,63723,0,654,114,620
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame224,1251936,1131893,2273,125,0,0,1510,115798,0,0,0,178,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1131863,2273,155,1510,115798,0,176,0,161
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame227,1251936,1178928,662,312,0,0,2120,68762,0,0,0,283,0,869,0,0,0,0,0,0,0,0,0,0,0,0,1178912,662,328,2120,68762,0,271,0,881
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame228,1251936,1200145,210,80,0,0,1323,48853,0,0,0,595,0,730,0,0,0,0,0,0,0,0,0,0,0,0,1200105,210,120,1323,48853,0,512,0,813
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame231,1251936,1160234,917,22,0,0,1858,88427,0,0,0,79,0,399,0,0,0,0,0,0,0,0,0,0,0,0,1160234,917,22,1858,88427,0,76,0,402
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame238,1251936,1201573,493,175,0,0,2198,45820,230,0,0,658,6,783,0,0,0,0,0,0,0,0,0,0,0,0,1201501,493,247,2192,45820,236,568,3,876
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame252,1251936,1216235,297,20,0,0,1980,32533,0,0,0,387,0,484,0,0,0,0,0,0,0,0,0,0,0,0,1216234,297,21,1980,32533,0,386,0,485
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame254,1251936,1219320,84,89,0,0,1535,28311,0,0,0,1015,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,1219303,84,106,1535,28311,0,986,0,1611
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame259,1251936,1121352,2200,7,0,0,2419,125958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121352,2200,7,2419,125958,0,0,0,0
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame263,1251936,1226580,163,100,0,0,1949,21344,0,0,0,583,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,1226575,163,105,1949,21344,0,563,0,1237
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame278,1251936,1201354,335,212,0,0,1882,47042,0,0,0,566,0,545,0,0,0,0,0,0,0,0,0,0,0,0,1201344,335,222,1882,47042,0,553,0,558
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame280,1251936,1200586,220,670,0,0,2212,36583,0,0,0,1149,0,10516,0,0,0,0,0,0,0,0,0,0,0,0,1200568,220,688,2212,36583,0,1129,0,10536
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame284,1251936,1182104,700,61,0,0,1793,66659,0,0,0,124,0,495,0,0,0,0,0,0,0,0,0,0,0,0,1182100,700,65,1793,66659,0,122,0,497
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame288,1251936,1169215,1315,62,0,0,1540,79174,0,0,0,136,0,494,0,0,0,0,0,0,0,0,0,0,0,0,1169214,1315,63,1540,79174,0,126,0,504
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame289,1251936,1201207,486,161,0,0,2188,45491,0,0,0,650,88,1665,0,0,0,0,0,0,0,0,0,0,0,0,1201194,486,174,2188,45491,0,622,55,1726
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame297,1251936,1196102,511,179,0,0,2079,50808,0,0,0,890,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,1196088,511,193,2079,50808,0,862,0,1395
2016-05-23__bonirob_2016-05-23-11-07-45_6_frame306,1251936,1235754,44,107,0,0,1252,12611,0,0,0,567,0,1601,0,0,0,0,0,0,0,0,0,0,0,0,1235750,44,111,1252,12611,0,561,0,1607
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame4,1251936,1221038,136,109,0,0,1371,27586,0,0,0,510,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,1221031,136,116,1371,27586,0,504,0,1192
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame5,1251936,1183785,795,248,0,0,1565,63518,0,0,0,480,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,1183762,795,271,1565,63518,0,454,0,1571
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame10,1251936,1200522,365,246,0,0,1497,46518,0,0,0,918,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,1200514,365,254,1497,46518,0,900,0,1888
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame13,1251936,1246407,36,333,0,0,219,1917,0,0,0,781,0,2243,0,0,0,0,0,0,0,0,0,0,0,0,1246308,36,432,219,1917,0,639,0,2385
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame14,1251936,1166422,765,186,0,0,1326,82142,0,0,0,239,0,856,0,0,0,0,0,0,0,0,0,0,0,0,1166413,765,195,1326,82142,0,225,0,870
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame19,1251936,1204210,423,304,0,0,1411,41395,0,0,0,1080,0,3113,0,0,0,0,0,0,0,0,0,0,0,0,1204194,423,320,1411,41395,0,1061,0,3132
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame20,1251936,1142500,1235,42,0,0,1905,105410,0,0,0,235,0,609,0,0,0,0,0,0,0,0,0,0,0,0,1142498,1235,44,1905,105410,0,228,0,616
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame27,1251936,1190033,448,45,0,0,2288,57926,0,0,0,440,0,756,0,0,0,0,0,0,0,0,0,0,0,0,1190029,448,49,2288,57926,0,438,0,758
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame29,1251936,1220020,35,138,0,0,1225,27239,0,0,0,1439,0,1840,0,0,0,0,0,0,0,0,0,0,0,0,1220014,35,144,1225,27239,0,1408,0,1871
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame31,1251936,1243619,53,201,0,0,1203,4145,9,0,0,1146,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,1243609,53,211,1202,4134,21,1132,0,1574
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame39,1251936,1169119,1269,89,0,0,1613,78591,0,0,0,402,0,853,0,0,0,0,0,0,0,0,0,0,0,0,1169119,1269,89,1613,78591,0,393,0,862
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame41,1251936,1206574,264,35,0,0,2231,40279,0,0,0,663,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,1206568,264,41,2231,40279,0,630,0,1923
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame43,1251936,1184348,643,74,0,0,1712,63525,0,0,0,516,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,1184344,643,78,1712,63525,0,511,0,1123
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame64,1251936,1110646,2657,4,59,930,708,132107,0,0,0,1276,0,31,125,3393,0,0,0,0,0,0,0,0,0,0,1110031,2657,1608,708,132107,0,755,0,4070
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame71,1251936,1142822,1635,438,0,0,1664,101738,0,0,0,1192,0,2447,0,0,0,0,0,0,0,0,0,0,0,0,1142793,1635,467,1664,101738,0,1131,0,2508
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame75,1251936,1241379,88,129,0,0,589,2957,0,0,0,4923,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,1241377,88,131,589,2957,0,4902,0,1892
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame77,1251936,1233640,135,330,0,0,906,9552,0,0,0,2603,0,4770,0,0,0,0,0,0,0,0,0,0,0,0,1233629,135,341,906,9552,0,2586,0,4787
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame87,1251936,1205859,402,73,0,197,1303,37545,0,0,0,2022,2,1528,3,3002,0,0,0,0,0,0,0,0,0,0,1205600,402,529,1303,37545,0,1276,0,5281
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame93,1251936,1197967,602,18,0,167,2612,43392,0,0,0,2888,1088,807,0,2395,0,0,0,0,0,0,0,0,0,0,1197755,584,415,2612,43392,0,2367,727,4084
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame95,1251936,1198524,363,256,0,13,1545,36673,0,0,0,6091,0,8361,0,110,0,0,0,0,0,0,0,0,0,0,1198300,363,493,1545,36673,0,5055,0,9507
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame96,1251936,1231822,96,103,0,0,1056,16929,0,0,0,1695,0,235,0,0,0,0,0,0,0,0,0,0,0,0,1231818,96,107,1056,16929,0,1694,0,236
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame97,1251936,1210502,586,19,0,0,1283,37740,0,0,0,1378,0,428,0,0,0,0,0,0,0,0,0,0,0,0,1210501,586,20,1283,37740,0,1374,0,432
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame101,1251936,1200866,245,37,0,0,2586,46260,0,0,0,694,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,1200857,245,46,2586,46260,0,691,0,1251
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame107,1251936,1215095,276,35,0,0,2533,31723,28,0,0,1954,0,292,0,0,0,0,0,0,0,0,0,0,0,0,1215093,276,37,2533,31723,28,1947,0,299
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame109,1251936,1206013,456,234,0,0,1052,40835,0,0,0,1604,23,1719,0,0,0,0,0,0,0,0,0,0,0,0,1206005,456,242,1052,40835,0,1591,23,1732
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame111,1251936,1202723,227,67,0,0,1487,44201,0,0,0,2149,427,655,0,0,0,0,0,0,0,0,0,0,0,0,1202720,226,71,1487,44201,0,2135,405,691
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame116,1251936,1199183,669,0,0,0,1816,47043,0,0,0,3217,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1199183,669,0,1816,47043,0,3217,0,8
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame119,1251936,1232313,66,12,0,0,1247,15161,0,0,0,2649,183,305,0,0,0,0,0,0,0,0,0,0,0,0,1232313,66,12,1247,15161,0,2649,183,305
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame137,1251936,1249310,66,0,0,0,734,1585,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249310,66,0,734,1585,0,241,0,0
2016-05-23__bonirob_2016-05-23-11-12-51_7_frame190,1251936,1206570,532,54,0,2,2776,38658,9,0,0,2388,0,932,0,15,0,0,0,0,0,0,0,0,0,0,1206483,532,143,2766,38622,55,2147,0,1188
